BSK5,Fosfat,Nitrat,month,Latitude,Longitude,Observed_Nitrogen,Predicted_Nitrogen,Residual,Post_Name,Indicator,Model
34.0,7.3,6.5,8,49.87005,24.166031,15.0,14.078999999999999,0.9210000000000012,"р. Полтва, 30 км, с.Кам’янопіль, Пустомитівський р-н, кільцева дорога біля шлюзу",Nitrogen / Azot,Random Forest
91.0,2.4,290.0,2,49.071306,24.342306,94.0,91.07,2.930000000000007,"р.Кропивник, 12 км, с. Мостище, автодорожний міст, вплив Домбровського карєру",Nitrogen / Azot,Random Forest
56.0,0.65,3.3,10,46.470861,29.738833,2.18,4.339500000000005,-2.1595000000000044,"р. Хаджидер, 68 км, с. Чистоводне, кордон з Молдовою",Nitrogen / Azot,Random Forest
1.5,0.28,23.0,1,46.397639,29.510778,5.82,8.16727000000001,-2.347270000000009,"р. Сарата, 94 км, с. Міняйлівка, кордон з Молдовою",Nitrogen / Azot,Random Forest
4.44,2.0,6.0,2,47.470472,29.35975,1.399,3.462020000000002,-2.063020000000002,"р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою",Nitrogen / Azot,Random Forest
4.0,1.038,9.0,11,46.296167,29.014361,10.69,9.644200000000023,1.0457999999999767,"р. Когільник, 131 км, с. Серпневе, кордон з Молдовою",Nitrogen / Azot,Random Forest
54.0,7.3,23.0,12,49.87005,24.166031,54.0,50.6133,3.3866999999999976,"р. Полтва, 30 км, с.Кам’янопіль, Пустомитівський р-н, кільцева дорога біля шлюзу",Nitrogen / Azot,Random Forest
1.3,0.4899999999999999,5.7,2,45.435156,29.264058,1.36,2.4491799999999966,-1.0891799999999965,"р. Дунай, 48 км, м. Кілія, питний в/з",Nitrogen / Azot,Random Forest
4.3,2.0,3.3,8,50.111286,24.349356,2.8,5.15271,-2.35271,"р. Західний Буг, 704 км, м. Кам'янка Бузька, в/з",Nitrogen / Azot,Random Forest
4.44,2.0,6.0,2,47.470472,29.35975,1.399,3.462020000000002,-2.063020000000002,"р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою",Nitrogen / Azot,Random Forest
2.4,4.3,5.7,7,50.810753,23.968728,2.3,4.137690000000003,-1.837690000000003,"р. Західний Буг, 583,5 км, с. Амбуків, 500 м нижче впадіння р. Хучва, кордон з Польщею",Nitrogen / Azot,Random Forest
4.3,2.0,3.3,8,50.111286,24.349356,2.8,5.15271,-2.35271,"р. Західний Буг, 704 км, м. Кам'янка Бузька, в/з",Nitrogen / Azot,Random Forest
40.0,0.4299999999999999,82.6,6,46.097983,28.995199,23.54,20.793589999999977,2.7464100000000222,"р. Киргиж-Китай, 49 км, с. М. Ярославець, кордон з Молдовою",Nitrogen / Azot,Random Forest
126.0,1.0,33.0,12,49.071306,24.342306,17.0,19.7618,-2.761800000000001,"р.Кропивник, 12 км, с. Мостище, автодорожний міст, вплив Домбровського карєру",Nitrogen / Azot,Random Forest
40.0,0.4299999999999999,82.6,6,46.097983,28.995199,23.54,20.793589999999977,2.7464100000000222,"р. Киргиж-Китай, 49 км, с. М. Ярославець, кордон з Молдовою",Nitrogen / Azot,Random Forest
2.3,2.6,7.2,7,50.869453,24.14285,2.4,4.448179999999996,-2.0481799999999963,"р. Західний Буг, 569 км, м. Устилуг,, 500 м нижче впадіння р.Устилуг, кордон з Польщею",Nitrogen / Azot,Random Forest
1.5,0.28,23.0,1,46.397639,29.510778,5.82,8.16727000000001,-2.347270000000009,"р. Сарата, 94 км, с. Міняйлівка, кордон з Молдовою",Nitrogen / Azot,Random Forest
1.3,0.4899999999999999,5.7,2,45.435156,29.264058,1.36,2.4491799999999966,-1.0891799999999965,"р. Дунай, 48 км, м. Кілія, питний в/з",Nitrogen / Azot,Random Forest
