BSK5,Fosfat,Nitrat,month,Latitude,Longitude,Observed_Dissolved_Oxygen,Predicted_Dissolved_Oxygen,Residual,Post_Name,Indicator,Model
4.0,0.07,13.6,6,47.470472,29.35975,5.0,9.19395,-4.1939496994018555,"р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою",Dissolved oxygen / Kisen,XGBoost
3.4,0.79,53.9,2,46.296167,29.014361,12.1,9.363686,2.7363143920898434,"р. Когільник, 131 км, с. Серпневе, кордон з Молдовою",Dissolved oxygen / Kisen,XGBoost
9.1,0.12,1.28,4,49.556389,27.913056,6.8,8.591548,-1.7915479660034181,"р. Південний Буг, 652 км, м. Хмільник, питний в/з, вище міста",Dissolved oxygen / Kisen,XGBoost
3.09,0.14,2.97,2,47.729492,33.245658,11.84,10.295787,1.5442131423950194,"р. Інгулець, 0 км, м. Інгулець, м. Інгулець",Dissolved oxygen / Kisen,XGBoost
2.51,0.077,3.92,2,50.082869,27.488553,8.81,12.044388,-3.234387817382812,"р. Хомора, 52 км, м. Полонне, питний в/з міста",Dissolved oxygen / Kisen,XGBoost
3.31,0.1189999999999999,4.18,2,50.574561,27.650556,14.24,12.044412,2.1955883407592776,"р. Случ, 203 км, м. Новоград-Волинський, питний в/з",Dissolved oxygen / Kisen,XGBoost
6.2,0.5999999999999999,1.2,6,49.4,31.236,8.3,4.7930884,3.5069115638732917,"р. Рось, 64 км,  м.Корсунь-Шевченківський, питний в/з                                               ",Dissolved oxygen / Kisen,XGBoost
80.0,1.2,193.0,4,49.071306,24.342306,8.0,5.822257,2.1777429580688477,"р.Кропивник, 12 км, с. Мостище, автодорожний міст, вплив Домбровського карєру",Dissolved oxygen / Kisen,XGBoost
10.0,0.043,0.11,7,48.738889,29.089167,14.4,5.3346143,9.065385723114014,"р. Південний Буг, 413 км, с. Маньківка, вище села, питний в/з м.Ладижин",Dissolved oxygen / Kisen,XGBoost
6.2,0.5999999999999999,1.2,6,49.4,31.236,8.3,4.7930884,3.5069115638732917,"р. Рось, 64 км,  м.Корсунь-Шевченківський, питний в/з                                               ",Dissolved oxygen / Kisen,XGBoost
3.31,0.1189999999999999,4.18,2,50.574561,27.650556,14.24,12.044412,2.1955883407592776,"р. Случ, 203 км, м. Новоград-Волинський, питний в/з",Dissolved oxygen / Kisen,XGBoost
2.0,0.4099999999999999,3.2,7,49.419186,24.315597,6.0,7.55977,-1.559770107269287,"р. Луг, 18 км, м. Ходорів, питний водозабір ",Dissolved oxygen / Kisen,XGBoost
2.51,0.077,3.92,2,50.082869,27.488553,8.81,12.044388,-3.234387817382812,"р. Хомора, 52 км, м. Полонне, питний в/з міста",Dissolved oxygen / Kisen,XGBoost
4.0,0.07,13.6,6,47.470472,29.35975,5.0,9.19395,-4.1939496994018555,"р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою",Dissolved oxygen / Kisen,XGBoost
10.0,0.043,0.11,7,48.738889,29.089167,14.4,5.3346143,9.065385723114014,"р. Південний Буг, 413 км, с. Маньківка, вище села, питний в/з м.Ладижин",Dissolved oxygen / Kisen,XGBoost
11.2,0.094,0.22,7,49.421111,28.3825,8.0,4.5913773,3.4086227416992188,"р. Південний Буг, 607 км, с. Гущинці, нижче села , питний водозабір м.Калинівка",Dissolved oxygen / Kisen,XGBoost
3.3,0.3599999999999999,2.0,7,46.54675,30.000028,10.6,8.661213,1.9387870788574215,"р. Турунчук, 47 км, с. Троїцьке, кордон з Республікою Молдова",Dissolved oxygen / Kisen,XGBoost
11.2,0.094,0.22,7,49.421111,28.3825,8.0,4.5913773,3.4086227416992188,"р. Південний Буг, 607 км, с. Гущинці, нижче села , питний водозабір м.Калинівка",Dissolved oxygen / Kisen,XGBoost
80.0,1.2,193.0,4,49.071306,24.342306,8.0,5.822257,2.1777429580688477,"р.Кропивник, 12 км, с. Мостище, автодорожний міст, вплив Домбровського карєру",Dissolved oxygen / Kisen,XGBoost
3.4,0.128,1.35,2,51.829736,26.149092,13.6,10.779969,2.8200307846069332,"р. Стир, 48 км, смт. Зарічне, кордон з Білоруссю",Dissolved oxygen / Kisen,XGBoost
9.1,0.12,1.28,4,49.556389,27.913056,6.8,8.591548,-1.7915479660034181,"р. Південний Буг, 652 км, м. Хмільник, питний в/з, вище міста",Dissolved oxygen / Kisen,XGBoost
6.2,0.5999999999999999,1.2,6,49.4,31.236,8.3,4.7930884,3.5069115638732917,"р. Рось, 64 км,  м.Корсунь-Шевченківський, питний в/з                                               ",Dissolved oxygen / Kisen,XGBoost
0.27,0.19,0.0,8,49.673178,26.825783,2.15,3.8454773,-1.695477342605591,"р. Случ, 406 км, с.Чернелівка, Красилівського р-ну, питний в/з м. Хмельницький",Dissolved oxygen / Kisen,XGBoost
3.4,0.128,1.35,2,51.829736,26.149092,13.6,10.779969,2.8200307846069332,"р. Стир, 48 км, смт. Зарічне, кордон з Білоруссю",Dissolved oxygen / Kisen,XGBoost
3.3,0.3599999999999999,2.0,7,46.54675,30.000028,10.6,8.661213,1.9387870788574215,"р. Турунчук, 47 км, с. Троїцьке, кордон з Республікою Молдова",Dissolved oxygen / Kisen,XGBoost
3.09,0.14,2.97,2,47.729492,33.245658,11.84,10.295787,1.5442131423950194,"р. Інгулець, 0 км, м. Інгулець, м. Інгулець",Dissolved oxygen / Kisen,XGBoost
2.3,0.37,33.6,2,46.397639,29.510778,12.1,10.069206,2.030793762207031,"р. Сарата, 94 км, с. Міняйлівка, кордон з Молдовою",Dissolved oxygen / Kisen,XGBoost
0.27,0.19,0.0,8,49.673178,26.825783,2.15,3.8454773,-1.695477342605591,"р. Случ, 406 км, с.Чернелівка, Красилівського р-ну, питний в/з м. Хмельницький",Dissolved oxygen / Kisen,XGBoost
3.4,0.79,53.9,2,46.296167,29.014361,12.1,9.363686,2.7363143920898434,"р. Когільник, 131 км, с. Серпневе, кордон з Молдовою",Dissolved oxygen / Kisen,XGBoost
2.3,0.37,33.6,2,46.397639,29.510778,12.1,10.069206,2.030793762207031,"р. Сарата, 94 км, с. Міняйлівка, кордон з Молдовою",Dissolved oxygen / Kisen,XGBoost
3.29,0.056,2.09,2,50.220117,28.551319,17.44,15.481182,1.9588179016113294,"р. Тетерів, 259 км, м.Житомир, питний в/з міста",Dissolved oxygen / Kisen,XGBoost
